Date,Bid Close
6/3/2019,1324.77
5/31/2019,1305.25
5/30/2019,1288.5
5/29/2019,1279.2
5/28/2019,1279.06
5/27/2019,1284.8
5/24/2019,1284.645
5/23/2019,1283.05
5/22/2019,1273.365
5/21/2019,1274.725
5/20/2019,1277.495
5/17/2019,1277.15
5/16/2019,1286.4
5/15/2019,1296.415
5/14/2019,1296.775
5/13/2019,1299.655
5/10/2019,1285.6
5/9/2019,1283.74
5/8/2019,1280.53
5/7/2019,1284.3
5/6/2019,1280.075
5/3/2019,1278.9399
5/2/2019,1270.29
5/1/2019,1276.355
4/30/2019,1283.35
4/29/2019,1279.55
4/26/2019,1285.85
4/25/2019,1276.95
4/24/2019,1274.96
4/23/2019,1272.15
4/22/2019,1274.675
4/18/2019,1275.01
4/17/2019,1273.74
4/16/2019,1276.17
4/15/2019,1287.635
4/12/2019,1290
4/11/2019,1292.345
4/10/2019,1307.795
4/9/2019,1303.885
4/8/2019,1297.165
4/5/2019,1291.3
4/4/2019,1292.125
4/3/2019,1289.655
4/2/2019,1292.75
4/1/2019,1287.415
3/29/2019,1291.9
3/28/2019,1290.15
3/27/2019,1309.46
3/26/2019,1315.42
3/25/2019,1321.8
3/22/2019,1313.13
3/21/2019,1309.205
3/20/2019,1312.235
3/19/2019,1306.3
3/18/2019,1303.45
3/15/2019,1301.13
3/14/2019,1296.0325
3/13/2019,1309.03
3/12/2019,1301.76
3/11/2019,1294
3/8/2019,1298.01
3/7/2019,1285.495
3/6/2019,1286.36
3/5/2019,1287.1801
3/4/2019,1286.415
3/1/2019,1293.3123
2/28/2019,1312.66
2/27/2019,1319.8
2/26/2019,1328.56
2/25/2019,1327.0601
2/22/2019,1327.71
2/21/2019,1323.11
2/20/2019,1338.41
2/19/2019,1341.08
2/18/2019,1326.15
2/15/2019,1321.01
2/14/2019,1312.48
2/13/2019,1306.12
2/12/2019,1310.51
2/11/2019,1308.26
2/8/2019,1313.99
2/7/2019,1310.03
2/6/2019,1306.15
2/5/2019,1314.95
2/4/2019,1311.6899
2/1/2019,1317.9301
1/31/2019,1320.56
1/30/2019,1319.51
1/29/2019,1311.86
1/28/2019,1303.46
1/25/2019,1303.14
1/24/2019,1280.56
1/23/2019,1282.01
1/22/2019,1284.64
1/21/2019,1279.53
1/18/2019,1281.11
1/17/2019,1291.4
1/16/2019,1293.4399
1/15/2019,1289.24
1/14/2019,1291.6899
1/11/2019,1287.5
1/10/2019,1286.3199
1/9/2019,1293.05
1/8/2019,1284.85
1/7/2019,1288.63
1/4/2019,1284.83
1/3/2019,1293.61
1/2/2019,1284.74
1/1/2019,1282.17
